List of countries by future gross government debt


# List of countries by future gross government debt



This is a list of countries by estimated future grossᶜˡᵃʳⁱᶠⁱᶜᵃᵗⁱᵒⁿ ⁿᵉᵉᵈᵉᵈ central government debt based on data released in October 2020 by the International Monetary Fund, with figures in percentage of national GDP.


## Projected debt estimates

**Gross government debt (sortable; in percent of GDP)**
| Country | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | 2023 | 2024 | 2025 |
| Trinidad and Tobago | 42.502 | 42.164 | 45.116 | 57.460 | 64.286 | 67.575 | 71.231 | 75.164 | 78.925 |
| Tunisia | 70.595 | 78.176 | 72.333 | 84.765 | 86.201 | 88.193 | 87.639 | 83.570 | 78.025 |
| Turkey | 28.027 | 30.173 | 32.986 | 41.666 | 45.517 | 47.342 | 48.055 | 49.332 | 50.379 |
| Turkmenistan | 30.592 | 31.366 | 32.783 | 30.911 | 26.681 | 25.857 | 29.794 | 32.362 | 33.322 |
| Tuvalu | 34.564 | 25.258 | 19.524 | 16.002 | 7.902 | 4.553 | 3.878 | 3.477 | 3.111 |
| Uganda | 33.800 | 35.122 | 38.229 | 46.048 | 50.933 | 54.865 | 57.314 | 57.785 | 55.372 |
| Ukraine | 71.620 | 60.551 | 50.055 | 65.692 | 64.301 | 61.838 | 58.191 | 54.985 | 52.140 |
| United Arab Emirates | 21.623 | 20.906 | 27.272 | 36.929 | 38.195 | 39.551 | 39.648 | 39.347 | 38.802 |
| United Kingdom | 86.245 | 85.724 | 85.352 | 108.026 | 111.522 | 113.437 | 115.265 | 116.388 | 116.970 |
| United States | 105.746 | 106.890 | 108.679 | 131.177 | 133.640 | 134.496 | 135.171 | 135.991 | 136.888 |
| Uruguay | 60.986 | 63.401 | 65.911 | 69.496 | 69.025 | 69.185 | 69.441 | 69.841 | 69.531 |
| Uzbekistan | 20.226 | 20.433 | 29.316 | 36.131 | 40.115 | 40.197 | 40.166 | 39.344 | 38.786 |
| Vanuatu | 46.360 | 48.083 | 45.342 | 47.688 | 50.863 | 52.883 | 54.075 | 55.636 | 57.143 |
| Venezuela | 26.004 | 180.789 | 232.786 | n/a | n/a | n/a | n/a | n/a | n/a |
| Vietnam | 46.309 | 43.580 | 43.365 | 46.623 | 47.104 | 47.179 | 46.907 | 46.381 | 45.644 |
| Yemen | 77.426 | 74.544 | 76.527 | 81.651 | 79.330 | 78.375 | 71.932 | 65.499 | 60.356 |
| Zambia | 65.523 | 77.243 | 91.898 | 119.974 | 119.567 | 116.462 | 112.258 | 107.743 | 102.683 |
| Zimbabwe | 52.866 | 37.343 | 10.806 | 2.358 | 2.226 | 2.202 | 2.148 | 2.060 | 1.975 |

